Package	Version	File	URL	SHA256
foreign	0.8-87	foreign_0.8-87.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/foreign_0.8-87.tar.gz	sha256:74e4e8a72907f436c4313529ba70a59f8f40d21994b6fc78d647481204232351
fs	2.1.0	fs_2.1.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/fs_2.1.0.tar.gz	sha256:7088af1117d65c4ceb144b532e323f197fc8243b1d704bf6edf40774789829cd
generics	0.1.4	generics_0.1.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/generics_0.1.4.tar.gz	sha256:bbe95a097792d38fc3b7e677738af1b95b66ea5e5017e33b8beac6a6088d0801
ggExtra	0.10.1	ggExtra_0.10.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/ggExtra_0.10.1.tar.gz	sha256:6879edfe8e3905a2c299cbd18777422223ad30042bc6e20614ca5109a75de82c
ggplot2	3.5.1	ggplot2_3.5.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/ggplot2_3.5.1.tar.gz	sha256:7c58b424f99b3634038e6f6d1fe4b0241b8aecb50e9c50466d5590f7e3144721
glue	1.8.1	glue_1.8.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/glue_1.8.1.tar.gz	sha256:1c55905d3efc3d5c199ceb0bd12218e97f0d4c64df6038ff41ecef415478a122
gtable	0.3.6	gtable_0.3.6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/gtable_0.3.6.tar.gz	sha256:d305a5fa11278b649d2d8edc5288bf28009be888a42be58ff8714018e49de0ef
here	1.0.1	here_1.0.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/here_1.0.1.tar.gz	sha256:08ed908033420d3d665c87248b3a14d1b6e2b37844bf736be620578c20ca346b
highr	0.12	highr_0.12.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/highr_0.12.tar.gz	sha256:e8e1d6460022a9948799602d6b95dc78fbfa318ff6f0627e95c20b7190fc612b
htmltools	0.5.9	htmltools_0.5.9.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/htmltools_0.5.9.tar.gz	sha256:19308618da485818f69dcfeeadd2ddc81d43a736a74519df7b3fd98e13128afd
htmlwidgets	1.6.4	htmlwidgets_1.6.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/htmlwidgets_1.6.4.tar.gz	sha256:7cb08f0b30485dac26f72e4056ec4ed8825d1398e8b9f25ed63db228fe3a0ed0
httpuv	1.6.17	httpuv_1.6.17.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/httpuv_1.6.17.tar.gz	sha256:d18506e13546b8bcd022446bb8344434cc786c2bbe8b3152909e1da42c1d6273
httr	1.4.7	httr_1.4.7.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/httr_1.4.7.tar.gz	sha256:1555e6c2fb67bd38ff11b479f74aa287b2d93f4add487aec53b836ff07de3a3a
isoband	0.3.0	isoband_0.3.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/isoband_0.3.0.tar.gz	sha256:fe8d3d58ca75bbee32f389152ac0058818f3f76f09c9867949531de7abc424ac
jquerylib	0.1.4	jquerylib_0.1.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/jquerylib_0.1.4.tar.gz	sha256:f0bcc11dcde3a6ff180277e45c24642d3da3c8690900e38f44495efbc9064411
jsonlite	2.0.0	jsonlite_2.0.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/jsonlite_2.0.0.tar.gz	sha256:75eb910c82b350ec33f094779da0f87bff154c232e4ae39c9896a9b89f3ac82d
KernSmooth	2.23-24	KernSmooth_2.23-24.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/KernSmooth_2.23-24.tar.gz	sha256:79cfbeeffef5654323ed19c64961ad2de20463f38b569c7bfa23c7d916431de0
knitr	1.51	knitr_1.51.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/knitr_1.51.tar.gz	sha256:bcfa3081677ff5c3881c7cef35f3305bbf6714b01320c81a523772663741ca11
labeling	0.4.3	labeling_0.4.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/labeling_0.4.3.tar.gz	sha256:c62f4fc2cc74377d7055903c5f1913b7295f7587456fe468592738a483e264f2
later	1.4.8	later_1.4.8.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/later_1.4.8.tar.gz	sha256:ce5d88b3fd1df409eaa21aa53bf20b1a9331f75cd69e7e9b2a27b40d2290d219
lattice	0.22-6	lattice_0.22-6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/lattice_0.22-6.tar.gz	sha256:fabb890486f7e55b84b1c06e9066b2b9461eda1f9119a75661a978cd60bae079
lazyeval	0.2.2	lazyeval_0.2.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/lazyeval_0.2.2.tar.gz	sha256:d6904112a21056222cfcd5eb8175a78aa063afe648a562d9c42c6b960a8820d4
lifecycle	1.0.5	lifecycle_1.0.5.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/lifecycle_1.0.5.tar.gz	sha256:61841e3e6edba056a88355a3f1d6698ab8d5d9cb3c05f2af0ec5a44ab516f8ee
littler	0.3.20	littler_0.3.20.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/littler_0.3.20.tar.gz	sha256:836a008ffa3f9c84f3b473c88e142ff722ddc6272a751c5cd646645dcf7e62dc
magrittr	2.0.5	magrittr_2.0.5.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/magrittr_2.0.5.tar.gz	sha256:3f5b5b1d4e6d12807a95c50b6c88cb1d8af2c5eb5213f08bfe58f278eca2ed23
MASS	7.3-61	MASS_7.3-61.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/MASS_7.3-61.tar.gz	sha256:6e71fcd9260bcd0d94e19a592ea906ce8c3923e2a82bb0f38f10e0dac40f043f
Matrix	1.7-1	Matrix_1.7-1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/Matrix_1.7-1.tar.gz	sha256:1dbfb33fe5d46e27488b3569072ee7cd2f47c4d81d75c66b4e3531cadbc2bc65
memoise	2.0.1	memoise_2.0.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/memoise_2.0.1.tar.gz	sha256:f85034ee98c8ca07fb3cd826142c1cd1e1e5747075a94c75a45783bbc4fe2deb
